nyt_wage,nyt_name,oes,det_phys_prox,det_contact_others,det_exp_to_dis_or_inf,score,nyt_emp,oes_top,oes_fbpop,fbshare,oes_totpop,oes_fbobs,oes_totobs,aboveAVG,healthProfessions,fbshareColor,essential
106095.2601,"Managers, All Other",119199,41.75493289,75.97581493,1.452526752,39.72775819,485010,11,540666,0.1433066726,3772790,23967,187461,0,0,0.14,
58346.89273,Elementary and Middle School Teachers,252020,76.29365727,95.57661052,48.26532801,73.37853193,2032880,25,257595,0.07040376961,3658824,12723,195948,0,0,0.07,
27071.23913,Driver/Sales Workers and Truck Drivers,533030,74.07615397,92,11.58476921,59.22030773,3130500,53,640674,0.1790107638,3578969,24167,166696,1,0,0.18,1
24200,Retail Salespersons,412031,69,97,19,61.66666794,4448120,41,460346,0.1337039024,3443026,18842,155501,0,0,0.13,
22444.74996,Cashiers,412010,74.96989805,96.00602039,27.99397961,66.32329935,3657570,41,528978,0.1579951942,3348064,20726,145957,0,0,0.16,
71730,Registered Nurses,291141,77,88,80,81.66666412,2951960,29,487539,0.1537319273,3171358,22133,158588,0,1,0.15,
39630,First-Line Supervisors of Retail Sales Workers,411011,66,96,10,57.33333206,1181530,41,418770,0.1342659593,3118959,17363,144929,0,0,0.13,
33750,Customer Service Representatives,434051,58,96,5,53,2871400,43,318794,0.111943014,2847824,13243,126860,0,0,0.11,
36630,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",436014,43,97,29,56.33333206,2165310,43,241635,0.08771347255,2754822,11724,148842,0,0,0.09,
26110,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",372011,48,70,47,55,2156270,37,715788,0.2767422497,2586479,26935,120023,1,0,0.28,
25550.60765,Cooks,352010,74.89130125,70.682709,15.54676847,53.70692624,2384940,35,696105,0.2947504222,2361676,24214,98330,1,0,0.29,1
28260,"Laborers and Freight, Stock, and Material Movers, Hand",537062,70,75,3,49.33333206,2893180,53,362516,0.158163175,2292038,13658,102994,0,0,0.16,1
21780,Waiters and Waitresses,353031,78,95,16,63,2582410,35,376190,0.1688245237,2228290,14200,91560,0,0,0.17,
70500,Accountants and Auditors,132011,39,88,0,42.33333206,1259930,13,333823,0.1687077284,1978706,15989,101024,0,0,0.17,
35800,Construction Laborers,472061,73,91,10,58,1001470,47,685972,0.376200974,1823419,22531,74502,1,0,0.38,
37218.52075,"Healthcare Support Workers, All Other",319099,77.61542185,87.15373444,66.76770401,77.17895343,144600,31,388022,0.2481690645,1563539,16469,70482,1,1,0.25,
23770,Maids and Housekeeping Cleaners,372012,42,87,52,60.33333206,924290,37,789997,0.5063710213,1560115,28494,64238,1,0,0.51,
28540,Nursing Assistants,311014,91,89,83,87.66666412,1450960,31,347289,0.2321473807,1495985,13662,64315,1,1,0.23,
78009.43193,Postsecondary Teachers,251000,53.71739094,87.04410647,17.8043034,52.85526694,1184180,25,324848,0.2287077308,1420363,16008,75453,1,0,0.23,
62493.85399,"Sales Representatives, Wholesale and Manufacturing",414010,50.87089637,93.87089637,3.564551817,49.43544818,1663160,41,136543,0.09852518886,1385869,6204,68582,0,0,0.10,
32730,"Office Clerks, General",439061,64,93,28,61.66666794,2972930,43,170140,0.1241942197,1369951,7582,67371,0,0,0.12,
55810,First-Line Supervisors of Office and Administrative Support Workers,431011,47,93,9,49.66666794,1477560,43,151176,0.1113324538,1357879,6991,67819,0,0,0.11,
23240,Childcare Workers,399011,68,73,35,58.66666794,564630,39,265473,0.2036102861,1303829,10665,60029,1,0,0.20,1
73390,First-Line Supervisors of Non-Retail Sales Workers,411012,43,96,4,47.66666794,247570,41,186469,0.1503196806,1240483,8295,60773,0,0,0.15,
189600,Chief Executives,111011,43,85,3,43.66666794,195530,11,165438,0.1346759796,1228415,8156,64717,0,0,0.13,
